Sample_ID,Object ID,other ID,Genbank ID,AlvarID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup_assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source_publication,metadata_source_or_what_i_put_into_mastersheet,paper link,notes
Nunura_29,,,,,Nunura_29,Nunura_29_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,36.747,98.4,0.983,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_30,,,,,Nunura_30,Nunura_30_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,73.677,98.99,0.9894,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_31,,,,,Nunura_31,Nunura_31_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,20.297,97.3,0.9718,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_4,,,,,Nunura_4,Nunura_4_HuacaAmarilla_Peru_d_882,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,882,960-805 cal.BPb,direct_radiocarbon_dating,Canis familiaris,19.952,97.33,0.9713,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_5,,,,,Nunura_5,Nunura_5_HuacaAmarilla_Peru_d_882.5,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,882.5,960-805 cal.BPb,direct_radiocarbon_dating,Canis familiaris,3.553,89.27,0.8812,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_6,,,,,Nunura_6,Nunura_6_HuacaAmarilla_Peru_d_882.5,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,882.5,960-805 cal.BPb,direct_radiocarbon_dating,Canis familiaris,2.452,80.3,0.7802,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_8,,,,,Nunura_8,Nunura_8_HuacaAmarilla_Peru_d_882,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,882,960-805 cal.BPb,direct_radiocarbon_dating,Canis familiaris,90.542,99.71,0.9965,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Obersten_Greenland,Obersten,,,,Obersten.CanFam3.1YT,Obersten_Greenland_c_110_A1a,-39.26,70.93,Greenland,Obersten,Greenland,A1a,,110,,contextual,Canis familiaris,0.88,,0.9986,,NorthAmericanDogs_lachie2,,
PM4-N3,,,,,PM4-N3_LS0257,PM4-N3_PlayaMiller-4_Chile_d_1008,-70.29853108,-18.44954705,Chile,Playa Miller - 4,,,,1008,1059-956 cal.ADb,direct_radiocarbon_dating,Canis familiaris,32.7,99.9,0.9925,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
SC1056,PTIL-ACROPOLIS,,,,SC1056,SC1056_Tilcara_Argentina_c_950,-65.402777,-23.588611,Argentina,Tilcara,Pucará de Tilcara,,,950,,contextual,Canis familiaris,,,0.9976,,NorthAmericanDogs_lachie2,,
SC1061,"700,0",,,Ecuador_Chondorko_861 ,SC1061,SC1061_Chondorko_Ecuador_c_833_A2b1a,-80.245344,-4.388112,Ecuador,Chondorko,Chondorko,A2b1a,Y,833,,contextual,Canis familiaris,15,,0.9997,,NorthAmericanDogs_lachie2,,
SG0892_L1_A1,S.38909,D_ReedXI1_Pre,,,SG0892_L1_A1_mtDNA,SG0892_L1_A1_ReedXI_USA_c_525,-94.76162,36.65896,USA,ReedXI,"Reed XI (Dl-11) 6:7/10 5-1, Delaware Cty, OK",,,525,,contextual,Canis familiaris,0.2027,,0.7959,,New_American_Samples_Lachie,,
Til 1_n8,,,,,Til_1_n8_AD2001,Til_1_n8_Pucar_deTilcara_Argentina_d_750,-65.40258993,-23.58650372,"Argentina, Jujuy",Pucará de Tilcara,,,,750,ca. 1000-500 bp,direct_radiocarbon_dating,Canis familiaris,2.4088,86.9373,0.8594,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
TRF.01.12,P71/2016KMG,ZMK 11/1934,,,TRF.01.12_Merged.CanFam3.1YT,TRF.01.12_V52_Greenland_c_1000_A1a,-45.782778,60.828611,Greenland,V52,V52,A1a,,1000,,contextual,Canis familiaris,0.84,,1.0001,,NorthAmericanDogs_lachie2,,
TRF.01.23,P27/2017KMG,"ZMK 113a/1950, USA_Deering_368, USA_Deering_388",,USA_Deering_388,TRF.01.23_Merged.CanFam3.1YT,TRF.01.23_Deering_USA_c_400_A1b1,-162.72,66.08,USA,Deering,"Deering, Qalgi",A1b1,Y,400,,contextual,Canis familiaris,11.03,,0.9998,AmeenPROCB2019,NorthAmericanDogs_lachie2,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
TRF.01.24,P28/2017KMG,ZMK 113a/1950. USA_Deering_382,,USA_Deering_c1000,TRF.01.24_Merged.CanFam3.1YT,TRF.01.24_Deering_USA_c_422_A1a1,-162.72,66.08,USA,Deering,"Deering, Qalgi",A1a1,Y,422,,contextual,Canis familiaris,9.08,,0.9998,AmeenPROCB2019,NorthAmericanDogs_lachie2,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
