Sample_ID,Object ID,other ID,Genbank ID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source,metadata_source_or_what_i_put_into_mastersheet,Partial,paper link,notes
66JM,,OP605616,,"OP605616.1 Homo sapiens haplogroup C1b mitochondrion, complete genome",66JM_Argentina_BuenosAires_d_793_C1b,-57.5,-37.6733,Argentina,"Mar Chiquita 1 / Buenos Aires, Pampas region",,C1b,Y,793,"906–680 cal BP (910 ± 50 BP, LP-3256)",direct_radiocarbon_dating,human,,,0.9996982316,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
67JM,,OP605617,,"OP605617.1 Homo sapiens haplogroup B2b mitochondrion, complete genome",67JM_Argentina_BuenosAires_d_793_B2b16,-57.5,-37.6733,Argentina,"Mar Chiquita 1 / Buenos Aires, Pampas region",,B2b16,Y,793,906–680 cal BP (associated with 66JM),direct_radiocarbon_dating,human,,,0.9995775243,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
PCA009,,,,PCA009.A0101.MT1.1,PCA009_PuertoRico_PuntaCandelero_d_791_A2z,-65.789,18.094,Puerto Rico,Punta Candelero,,A2z,Y,791,683 - 899 cal BP,direct_radiocarbon_dating,human,28.1,,1,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
MW886106,,,MW886106,MW886106,MW886106_Argentina_PotreroDeGaray__d__789_D1g5,-64.5356,-31.7778,Argentina,Potrero de Garay,,D1g5,Y,789,"906-672 calBP (889 ± 59, MTC 14028)",direct_radiocarbon_dating,human,130,,1,Angelina Garcia,Angelina Garcia,,https://academic.oup.com/hmg/article/30/13/1200/6226240,
I1484,BC13,,,I1484.AG,I1484_Peru_Botigiriayocc_d_780_B2,-74.843611,-14.275556,Peru,"Botigiriayocc, Laramate, Highlands",,B2,Y,780,"1050-1220 calCE (920±20 BP, PSUAMS-1615)",direct_radiocarbon_dating,human,301,,0.999818939,PosthCell2018,harvard,,,
KU523289,"Inv B0430, Box 472, Shelf 1.1",LP22.5,KU523289,KU523289,KU523289_Chile_Pica-8__c__776_B2,-69.5110023,-19.9241034,Chile,Pica-8,,B2,Y,776,400-1000 AD,contextual,human,165.64,,0.9995775243,LlamasSciAdv2016,Bastien Llamas,,,
LP22.6,"Inv B0435, Box 479, Shelf 1.2",,KU523290,KU523290,LP22.6_Chile_Pica-8__c__776_B2,-69.5110023,-19.9241034,Chile,Pica-8,,B2,Y,776,1000-1476 AD,contextual,human,43.59,,0.9995171706,LlamasSciAdv2016,Bastien Llamas 2016,,,
LP22.8,"Inv B0473, Box 526C, Shelf 1.1",,KU523291,KU523291,LP22.8_Chile_Pica-8__c__776_B2,-69.5110023,-19.9241034,Chile,Pica-8,,B2,Y,776,1000-1476 AD,contextual,human,180.71,,0.999637878,LlamasSciAdv2016,Bastien Llamas 2016,,,
VK74,Greenland late-0928,,,VK74q50w,VK74_Greenland_West_settlement_d_776_U4b1b1b,-50.1,64.25,Greenland,West_Settlement,V051,U4b1b1b,Y,776,"1046-1267 calCE (865±40 BP, AAR-1144)",direct_radiocarbon_dating,human,19.9,,0.9982497435,MargaryanNature2020,,,https://www.nature.com/articles/s41586-020-2688-8,
I12364,51JM,,,I12364.AG,I12364_Argentina_NorthOfTierraDelFuego_d_770_D4h3a,-67.65,-53.82,Argentina,"North of Tierra del Fuego, Margen Sur",,D4h3a,Y,770,"1040-1280 calCE (897±38 BP, AA-69655)",direct_radiocarbon_dating,human,1422,,0.9999396463,NakatsukaNatCommun2020,harvard,,,
I0760,77-85-10/13554.0.1,,,I0760.AG,I0760_USA_SanClemente_California_d_769_C5b,-118.5,32.9,USA,"San Clemente Island (California, Los Angeles County)",,C5b,Y,769,"1053-1223 calCE (875±20 BP, PSUAMS-6496/UCIAMS-158550)",direct_radiocarbon_dating,human,327,,0.999818939,NakatsukaNature2023,harvard,,,
I15966,2533 (116),,,I15966.AG,I15966_DominicanRepublic_LaCaleta_d_768_C1b2,-69.686282,18.450602,Dominican Republic,"La Caleta (southeast coast DR, Santo Domingo, Aeropuerto Santo Domingo)",,C1b2,Y,768,"1157-1219 calCE (880±15 BP, PSUAMS-9157)",direct_radiocarbon_dating,human,226.1,,0.999818939,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I0966,10725A,,,I0966.AG,I0966_Peru_HuacaPucllana_c_765_C1b,-77.033889,-12.111111,Peru,"Huaca Pucllana, Lima",,C1b,Y,765,900-1470 CE,contextual,human,195,,0.999818939,NakatsukaCell2020,harvard,,,
I0967,10729A,,,I0967.AG,I0967_Peru_HuacaPucllana_c_765_B2,-77.033889,-12.111111,Peru,"Huaca Pucllana, Lima",,B2,Y,765,900-1470 CE,contextual,human,85.6,,0.999637878,NakatsukaCell2020,harvard,,,
I0972,10800A,,,I0972.AG,I0972_Peru_HuacaPucllana_c_765_B2b,-77.033889,-12.111111,Peru,"Huaca Pucllana, Lima",,B2b,Y,765,900-1470 CE,contextual,human,49.7,,0.9996982316,NakatsukaCell2020,harvard,,,
VK191,"Greenland late-1000; Greenland_ï¿½149_KAL-1000 /skeleton 7, grave unit I",,,VK191q50w,VK191_Greenland_EasternSettlement_d_762_W,-45.34,60.55,Greenland,Eastern Settlement,Ø149,W,Y,762,"1046-1277 calCE (845±50 BP, AAR-1263)",direct_radiocarbon_dating,human,13.3,,0.9880499728,MargaryanNature2020,,,https://www.nature.com/articles/s41586-020-2688-8,
I0751,77-85-10/13548.0.1,,,I0751.AG,I0751_USA_SanClemente_California_d_760_R,-118.5,32.9,USA,"San Clemente Island (California, Los Angeles County)",,R,Y,760,"1157-1225 calCE (865±20 BP, PSUAMS-6495/UCIAMS-158549)",direct_radiocarbon_dating,human,367,,0.999818939,NakatsukaNature2023,harvard,,,
I13189,898 (47D),,,I13189.AG,I13189_DominicanRepublic_ElSoco_d_753_C1b2,-69.187,18.447,Dominican Republic,"El Soco (southeast coast DR, San Pedro de Macorís, Ramón Santana, Playa Nueva Romana)",,C1b2,Y,753,"1160-1257 calCE (855±20 BP, PSUAMS-7388)",direct_radiocarbon_dating,human,419.6,,0.999818939,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
CAO021,E139,,,CAO021.A0101.MT1.1,CAO021_Cuba_CanimarAbajo_d_750_D1,-81.497,23.038,Cuba,Canimar Abajo,,D1,Y,750,792 - 707 cal BP,direct_radiocarbon_dating,human,139.9656,,1,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
I13203,913 (47i),,,I13203.AG,I13203_DominicanRepublic_ElSoco_c_750_C1b2,-69.187,18.447,Dominican Republic,"El Soco (southeast coast DR, San Pedro de Macorís, Ramón Santana, Playa Nueva Romana)",,C1b2,Y,750,1100-1300 CE,contextual,human,243.4,,0.9997585853,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I13255,4722/ANTPA.004693,,,I13255.AG,I13255_Bahamas_CrookedIsland_c_750_n/a (<2x),-74.32,22.83,Bahamas,Unknown Site (Crooked Island),,n/a (<2x),Y,750,900-1500 CE,contextual,human,1.455,,0.6850141831,FernandesSirakNature2020,harvard,,,
I13318,S13318.E1.L1,,,I13318.AG,I13318_Bahamas_CrookedIsland_c_750_C1b,-74.29,22.82,Bahamas,Crooked Island (Burial Cave #1),4722/ANTPA.004694,C1b,Y,750,900-1500 CE,contextual,human,360,,0.9998792927,FernandesSirakNature2020,harvard,,,
I13319,S13319.E1.L1,,,I13319.AG,I13319_Bahamas_CrookedIsland_c_750_C1b,-74.32,22.83,Bahamas,"Crooked Island (Gordon Hill Cave, Chamber #1)",4722/ANTPA.004695,C1b,Y,750,900-1500 CE,contextual,human,301.7,,0.9999396463,FernandesSirakNature2020,harvard,,,
I13320,S13320.E1.L1,,,I13320.AG,I13320_Bahamas_AbacoIslands_d_750_B2e,-77.19,25.87,Bahamas,"Abaco Islands (Imperial Lighthouse Cave, Great Abaco)",4722/ANTPA.004683,B2e,Y,750,"1033-1159 calCE (947±24 BP, OxA-38206)",direct_radiocarbon_dating,human,228.6,,0.9999396463,FernandesSirakNature2020,harvard,,,
I13321,S13321.E1.L1,,,I13321.AG,I13321_Bahamas_EleutheraIsland_c_750_C1b2,-76.2,24.75,Bahamas,Eleuthera Island (Wemyss Bight Cave),4722/ANTPA.004685,C1b2,Y,750,900-1500 CE,contextual,human,345.7,,0.9999396463,FernandesSirakNature2020,harvard,,,
I13322,S13322.E1.L1,,,I13322.AG,I13322_Bahamas_LongIsland_d_750_C1d1,-74.98,23.07,Bahamas,Long Island (Cave near Clarence Town),4722/ANTPA.004687,C1d1,Y,750,"885-990 calCE (1127±19 BP, OxA-39169)",direct_radiocarbon_dating,human,304.9,,0.9998792927,FernandesSirakNature2020,harvard,,,
I13558,S13558.E1.L1,,,I13558.AG,I13558_Bahamas_SouthAndrosIsland_d_750_C1b2,-77.55,24.1,Bahamas,South Andros Island (Sanctuary Blue Hole),SBH #15; Blue hole burial,C1b2,Y,750,"1307-1406 calCE (593±19 BP, OxA-39129)",direct_radiocarbon_dating,human,465.2,,0.9997585853,FernandesSirakNature2020,harvard,,,
I13559,S13559.E1.L1,,,I13559.AG,I13559_Bahamas_SouthAndrosIsland_c_750_B2e,-77.55,24.1,Bahamas,South Andros Island (Sanctuary Blue Hole),SBH #11; Blue hole burial,B2e,Y,750,900-1500 CE,contextual,human,1057,,0.9999396463,FernandesSirakNature2020,harvard,,,
I13560,S13560.E1.L1,,,I13560.AG,I13560_Bahamas_SouthAndrosIsland_d_750_B2e,-77.55,24.1,Bahamas,South Andros Island (Stargate Blue 166),"Stargate, Stargate; Blue hole burial",B2e,Y,750,"1271-1377 calCE (712±18 BP, OxA-39493)",direct_radiocarbon_dating,human,415.7,,0.999818939,FernandesSirakNature2020,harvard,,,
I13736,"S13736.Y1.E1.L1, S14874.Y1.E1.L1",,,I13736,I13736_Bahamas_EleutheraIsland_c_750_C1d1,-76.520014,25.366574,Bahamas,Eleuthera Island (Garden Cave),"HBC, Back CH",C1d1,Y,750,900-1500 CE,contextual,human,,,0.9991550486,FernandesSirakNature2020,Daniel Fernandes,,https://www.biorxiv.org/content/10.1101/2020.06.01.126730v1,
I13741,"Stargate, FC 2",,,I13741.AG,I13741_Bahamas_FlamingoCay_c_750_C1b2,-74.98,23.1,Bahamas,"Flamingo Cay (Ragged Island Range, Jumento Cays)",,C1b2,Y,750,900-1500 CE,contextual,human,108.6,,0.9998792927,FernandesSirakNature2020,harvard,,,
I14009,PUK6 T1,,,I14009.AG,I14009_Chile_Precordillera_d_750_B2,-69.310334,-17.804018,Chile,Precordillera (Atacama Desert),,B2,Y,750,"1155-1260 calCE (890±20 BP, PSUAMS-6819)",direct_radiocarbon_dating,human,57.7,,0.9986118655,NakatsukaCell2020,harvard,,doi:10.1016/j.cell.2020.04.015,
I14875,S14875.Y1.E1.L1,,,I14875.AG,I14875_Bahamas_AbacoIslands_d_750_B2,-76.99,26.5,Bahamas,"Abaco Islands (Bill Johnson's Cave, Lubber's Quarters)","Lubber's Quarters, Bill Johnson's Cave, Abaco",B2,Y,750,"772-973 calCE (1161±19 BP, OxA-39170)",direct_radiocarbon_dating,human,121.5,,0.999818939,FernandesSirakNature2020,harvard,,,
I14880,S14880.Y1.E1.L1,,,I14880.AG,I14880_Bahamas_SouthAndrosIsland_d_750_A2h,-77.55,24.1,Bahamas,South Andros Island (Sanctuary Blue Hole),SBH #5; Blue hole burial,A2h,Y,750,"1319-1417 calCE (572±20 BP, OxA-39126)",direct_radiocarbon_dating,human,64.11,,0.9993361096,FernandesSirakNature2020,harvard,,,
I14883,S14883.Y1.E1.L1,,,I14883.AG,I14883_Bahamas_SouthAndrosIsland_d_750_A2,-77.55,24.1,Bahamas,South Andros Island (Sanctuary Blue Hole),SBH #2; Blue hole burial,A2,Y,750,"1319-1418 calCE (571±20 BP, OxA-39125)",direct_radiocarbon_dating,human,354.1,,0.9999396463,FernandesSirakNature2020,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I14923,S14923.Y1.E1.L1,,,I14923.AG,I14923_Bahamas_AbacoIslands_d_750_B2e,-77.55,26.31,Bahamas,"Abaco Islands (Randy's Cave, Moore's Island)",Moore's Island; Blue hole burial,B2e,Y,750,"1305-1398 calCE (609±13 BP, OxA-39239, 40)",direct_radiocarbon_dating,human,122.8,,0.9999396463,FernandesSirakNature2020,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
S0322,PO3,,KU523272,KU523272,S0322_Chile_Pica-8__c__750_A2,-69.5110023,-19.9241034,Chile,Pica-8,,A2,Y,750,1000-500 BP,contextual,human,167,,1.000060354,LlamasSciAdv2016,Bastien Llamas 2016,,,
S0323,PO4,,KU523273,KU523273,S0323_Chile_Pica-8__c__750_A2,-69.5110023,-19.9241034,Chile,Pica-8,,A2,Y,750,1000-500 BP,contextual,human,20.5,,0.9998792927,LlamasSciAdv2016,Bastien Llamas 2016,,,
I12365,55JM,,,I12365.AG,I12365_Argentina_NorthOfTierraDelFuego_d_740_C1c8,-67.65,-53.82,Argentina,"North of Tierra del Fuego, Margen Sur",,C1c8,Y,740,"1150-1270 calCE (960±20 BP, PSUAMS-6684)",direct_radiocarbon_dating,human,1650,,0.9999396463,NakatsukaNatCommun2020,harvard,,,
SN-53,"MDLH, PE10250",PRJEB25445,,SN-53,SN-53_Canada_SanNicolasIsland_d_737_B2a5b,-119.539,33.264278,Canada,"San Nicolas Island, CA",,B2a5b,Y,737,"1165-1264 calCE (840±26 BP, OxA-16579)",direct_radiocarbon_dating,human,64,,0.776812119,ScheibScience2018,,,10.1126/science.aar6851,
I1358,EA1,,,I1358.AG,I1358_Peru_Pacapaccari_d_735_B2b,-74.8,-14.28,Peru,"Pacapaccari, Laramate, Highlands",,B2b,Y,735,"1175-1270 calCE (875±20 BP, PSUAMS-1604)",direct_radiocarbon_dating,human,1180,,0.999818939,NakatsukaCell2020,harvard,,,
VK189,Greenland late-0992; Greenland_V007_KAL-0992 / skeleton U04,,,VK189q50w,VK189_Greenland_WesternSettlement_d_726_H54,-50.15,64.83,Greenland,Western Settlement,V007,H54,Y,726,"1168-1271 calCE (825±33 BP, AAR-5403)",direct_radiocarbon_dating,human,46.6,,0.9992757559,MargaryanNature2020,,,https://www.nature.com/articles/s41586-020-2688-8,
I5319,MT_1,,,I5319.AG,I5319_USA_TochakMcgrath_d_725_A2a1,-155.594724,62.951189,USA,"Tochak McGrath, Upper Kuskokwim River, Alaska",,A2a1,Y,725,"1050-1400 calCE (1170±30 BP, Beta-337194)",direct_radiocarbon_dating,human,231.101092,,0.9998792927,FlegontovNature2019,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I5320,MT_2,,,I5320.AG,I5320_USA_TochakMcgrath_c_725_A2+(64),-155.594724,62.951189,USA,"Tochak McGrath, Upper Kuskokwim River, Alaska",,A2+(64),Y,725,1000-1450 CE,contextual,human,344.413302,,0.999818939,FlegontovNature2019,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I5321,MT_3,,,I5321.AG,I5321_USA_TochakMcgrath_c_725_A2+(64),-155.594724,62.951189,USA,"Tochak McGrath, Upper Kuskokwim River, Alaska",,A2+(64),Y,725,1000-1450 CE,contextual,human,344.65182,,0.999818939,FlegontovNature2019,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
LAV004,69_1,,,LAV004.A0101.MT1.1,LAV004_St.lucia_Lavoutte_c_725_C1b4,-60.926,14.091,St.Lucia,Lavoutte,,C1b4,Y,725,,contextual,human,209.5056,,1,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
LAV006,12,,,LAV006.A0101.MT1.1,LAV006_St.lucia_Lavoutte_c_725_C1b2,-60.926,14.091,St.Lucia,Lavoutte,,C1b2,Y,725,,contextual,human,182.6018,,1,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
I15665,1833 (209),,,I15665.AG,I15665_DominicanRepublic_LaCaleta_d_723_C1b2,-69.686282,18.450602,Dominican Republic,"La Caleta (southeast coast DR, Santo Domingo, Aeropuerto Santo Domingo)",,C1b2,Y,723,"1176-1267 calCE (830±20 BP, PSUAMS-8809)",direct_radiocarbon_dating,human,72.55,,0.9995775243,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
SpiritEyeCave3,,,,41PS25-0-99,SpiritEyeCave3_USA_Texas_d_723_B2a4a1,-104.366389,29.561389,USA,"Spirit Eye Cave (41PS25), West Texas",Burial 3,B2a4a1,Y,723,765–680 calBP,direct_radiocarbon_dating,human,,,0.9998792927,SchroederJArchaeolSciRep2021,,,https://www.sciencedirect.com/science/article/abs/pii/S2352409X21000109,
SM-02,"MDLH, PE7076",PRJEB25445,,SM-02,SM-02_Canada_SanMiguelIsland_d_722_A2,-120.383333,34.033333,Canada,"San Miguel Island, CA",,A2,Y,722,1174-1269 calCE (826±26 BP),direct_radiocarbon_dating,human,33.18,,0.7906934637,ScheibScience2018,,,10.1126/science.aar6851,
KU523304,Cueva Candelaria 32 H13,LP12.1,KU523304,KU523304,KU523304_Mexico_CuevaCandelaria__c__714_B2,-100.961111,25.421111,Mexico,Cueva Candelaria,,B2,Y,714,1000-1600 AD,contextual,human,139.73,,0.9994568169,LlamasSciAdv2016,Bastien Llamas,,,
KU523305,Cueva Candelaria 32 H25,LP12.2,KU523305,KU523305,KU523305_Mexico_CuevaCandelaria__c__714_B2,-100.961111,25.421111,Mexico,Cueva Candelaria,,B2,Y,714,1000-1600 AD,contextual,human,42.55,,0.9995171706,LlamasSciAdv2016,Bastien Llamas,,,
KU523306,Cueva Candelaria 45,LP12.4,KU523306,KU523306,KU523306_Mexico_CuevaCandelaria__c__714_B2,-100.961111,25.421111,Mexico,Cueva Candelaria,,B2,Y,714,1000-1600 AD,contextual,human,45.27,,0.9994568169,LlamasSciAdv2016,Bastien Llamas,,,
KU523307,Cueva Candelaria 49,LP12.6,KU523307,KU523307,KU523307_Mexico_CuevaCandelaria__c__714_B2,-100.961111,25.421111,Mexico,Cueva Candelaria,,B2,Y,714,1000-1600 AD,contextual,human,25.31,,0.9990343412,LlamasSciAdv2016,Bastien Llamas,,,
KU523338,Cueva Candelaria 48,LP12.5,KU523338,KU523338,KU523338_Mexico_CuevaCandelaria__c__714_C1b,-100.961111,25.421111,Mexico,Cueva Candelaria,,C1b,Y,714,1000-1600 AD,contextual,human,8.31,,0.9851529966,LlamasSciAdv2016,Bastien Llamas,,,
I13190,899 (42),,,I13190.AG,I13190_DominicanRepublic_ElSoco_d_711_B2,-69.187,18.447,Dominican Republic,"El Soco (southeast coast DR, San Pedro de Macorís, Ramón Santana, Playa Nueva Romana)",,B2,Y,711,"1212-1271 calCE (815±20 BP, PSUAMS-8977)",direct_radiocarbon_dating,human,75.94,,0.9954734746,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
KU523297,Inv74,LP14.6,KU523297,KU523297,KU523297_Peru_Pasamayo__c__779_B2aa1a,-77.1942632,-11.6948464,Peru,Pasamayo,,B2aa1a,Y,710,1000-1470 AD,contextual,human,69.43,,0.9995775243,Llamas et al. 2016,Stefania Brandini,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false,
KU523298,Inv108,LP40.7,KU523298,KU523298,KU523298_Peru_Pasamayo__c__779_B2b9b,-77.1942632,-11.6948464,Peru,Pasamayo,,B2b9b,Y,710,1000-1470 AD,contextual,human,26.72,,0.99704267,Llamas et al. 2016,Stefania Brandini,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false,
KU523330,Inv69,LP22.1,KU523330,KU523330,KU523330_Peru_Pasamayo__c__744_D1,-77.1942632,-11.6948464,Peru,Pasamayo,,D1,Y,710,1000-1470 AD,contextual,human,111.58,,0.9997585853,Llamas et al. 2016,Stefania Brandini,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false,
KU523331,Inv8,LP14.7,KU523331,KU523331,KU523331_Peru_Pasamayo__c__779_D1o,-77.1942632,-11.6948464,Peru,Pasamayo,,D1o,Y,710,1000-1470 AD,contextual,human,165.04,,0.9996982316,Llamas et al. 2016,Stefania Brandini,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false,
KU523332,Inv7,LP14.8,KU523332,KU523332,KU523332_Peru_Pasamayo__c__509_D1,-77.1942632,-11.6948464,Peru,Pasamayo,,D1,Y,710,1000-1470 AD,contextual,human,26.18,,0.9997585853,Llamas et al. 2016,Stefania Brandini,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false,
KU523348,Inv1,LP22.2,KU523348,KU523348,KU523348_Peru_Pasamayo__c__699_D1,-77.1942632,-11.6948464,Peru,Pasamayo,,D1,Y,710,1000-1470 AD,contextual,human,86.49,,1,Llamas et al. 2016,Stefania Brandini,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false,
LP40.5,Inv76,,KU523267,KU523267,LP40.5_Peru_Pasamayo__c__710_A2,-77.2178042,-11.6063057,Peru,Pasamayo,,A2,Y,710,1000-1470 AD,contextual,human,330.12,,0.9999396463,LlamasSciAdv2016,Bastien Llamas 2016,,,
CAO028,E06_34,,,CAO028.A0101.MT1.1,CAO028_Cuba_CanimarAbajo_d_709_D1,-81.497,23.038,Cuba,Canimar Abajo,,D1,Y,709,759 - 686 cal BP,direct_radiocarbon_dating,human,143.444,,1.000241415,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
I24259,"P8312 (231, 2014.052.062)",,,I24259.AG,I24259_USA_Guam_d_708_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,708,"1216-1271 calCE (810±20 BP, PSUAMS-10004)",direct_radiocarbon_dating,human,113,,0.9916711932,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I15105,"1271 (Monticolo 4, Pozo 6, Entierro 10)",,,I15105.AG,I15105_DominicanRepublic_Atajadizo_d_706_A2,-68.61,18.394444,Dominican Republic,"Atajadizo (southeast coast DR, Altagracia, mouth of the Yuma River)",,A2,Y,706,"1221-1268 calCE (805±15 BP, PSUAMS-8181)",direct_radiocarbon_dating,human,245.3,,0.9999396463,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I24230,"P8283 (40, 2014.052.119)",,,I24230.AG,I24230_USA_Guam_d_705_E1a1b,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E1a1b,Y,705,"1220-1271 calCE (800±20 BP, PSUAMS-11954)",direct_radiocarbon_dating,human,123.4,,0.9906451808,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I24595,"P8368 (136, 2014.052.156)",,,I24595.AG,I24595_USA_Guam_d_704_E2a,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2a,Y,704,"1221-1273 calCE (795±20 BP, PSUAMS-11916)",direct_radiocarbon_dating,human,141.4,,0.9958959503,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I14994,2353 (Ind. A),,,I14994.AG,I14994_DominicanRepublic_LosCorniel_d_703_A2+,-71.22,19.83,Dominican Republic,"Los Corniel (northern DR, Puerto Plata, Punta Rucia)",,A2+(64),Y,703,"1222-1273 calCE (793±20 BP, DSH-7155)",direct_radiocarbon_dating,human,352.9,,0.9998792927,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I15106,"1272 (Monticolo 4, Pozo 5, Entierro 12B)",,,I15106.AG,I15106_DominicanRepublic_Atajadizo_d_702_C1b2,-68.61,18.394444,Dominican Republic,"Atajadizo (southeast coast DR, Altagracia, mouth of the Yuma River)",,C1b2,Y,702,"1225-1271 calCE (790±15 BP, PSUAMS-8182)",direct_radiocarbon_dating,human,219.4,,0.999818939,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I15112,"1279 (Monticolo 6, Pozo Plaza Oueste, Entierro 1)",,,I15112.AG,I15112_DominicanRepublic_Atajadizo_d_702_C1b2,-68.61,18.394444,Dominican Republic,"Atajadizo (southeast coast DR, Altagracia, mouth of the Yuma River)",,C1b2,Y,702,"1225-1271 calCE (790±15 BP, PSUAMS-8978)",direct_radiocarbon_dating,human,307,,0.9998792927,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I16178,115B,,,I16178.AG,I16178_DominicanRepublic_LaCaleta_d_702_C1b2,-69.686282,18.450602,Dominican Republic,"La Caleta (southeast coast DR, Santo Domingo, Aeropuerto Santo Domingo)",,C1b2,Y,702,"1223-1273 calCE (790±20 BP, PSUAMS-8816)",direct_radiocarbon_dating,human,68.681,,0.9992757559,FernandesSirakNature2020,harvard,,..,
I13323,"5171/ANTPA.000151 (Santa Elena/Toa Baja 2, Burial 1)",,,I13323.AG,I13323_PuertoRico_SantaElena_d_701_D1,-66.25,18.44,Puerto Rico,Santa Elena,,D1,Y,701,"1224-1275 calCE (785±20 BP, PSUAMS-7457)",direct_radiocarbon_dating,human,307.2,,0.9998792927,FernandesSirakNature2020,harvard,,,
1-4B,,,KY400149,KY400149,1-4B_Mexico_Paquimé__c__700_B,-107.9552259,30.3740395,Mexico,Paquimé,,B,Y,700,,contextual,human,,,0.03729856962,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
14-1A,,,KY400154,KY400154,14-1A_Mexico_Paquimé__c__700_C,-107.9552259,30.3740395,Mexico,Paquimé,,C,Y,700,,contextual,human,,,0.03772104533,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
17-6B,,,KY400153,KY400153,17-6B_Mexico_Paquimé__c__700_B,-107.9552259,30.3740395,Mexico,Paquimé,,B,Y,700,,contextual,human,,,0.02848693343,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
19-CPB,,,KY400150,KY400150,19-CPB_Mexico_Paquimé__c__700_B,-107.9552259,30.3740395,Mexico,Paquimé,,B,Y,700,,contextual,human,,,0.03289275152,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
2-14A,,,KY400159,KY400159,2-14A_Mexico_Paquimé__c__700_D,-107.9552259,30.3740395,Mexico,Paquimé,,D,Y,700,,contextual,human,,,0.02999577524,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
44-13H,,,KY400152,KY400152,44-13H_Mexico_Paquimé__c__700_C,-107.9552259,30.3740395,Mexico,Paquimé,,C,Y,700,,contextual,human,,,0.02721950631,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
46117,,,KY400156,KY400156,46117_Mexico_Paquimé__c__700_B,-107.9552259,30.3740395,Mexico,Paquimé,,B,Y,700,,contextual,human,,,0.03108214135,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
7-14A,,,KY400157,KY400157,7-14A_Mexico_Paquimé__c__700_A,-107.9552259,30.3740395,Mexico,Paquimé,,A,Y,700,,contextual,human,,,0.03192709276,MoralesArceAmJPhysAnthropol2017,Ana Morales-Arce,"partial, ~666",10.1002/ajpa.23223,
